id,name,group1,group2,type,element_type,power_kW,operating_weight_kg,length_cm,width_cm,height_cm,max_speed_km_h,operating_speed_km_h,gradeability_degrees,ground_pressure_kPa,attachment_1,attachment_2,attachment_3,attachment_4,attachment_5,digging_depth_cm,reach_height_cm,reach_length_cm,turning_radius_cm,note,fuel_consumption_high_ml_h,fuel_consumption_medium_ml_h,fuel_consumption_low_ml_h,co2_high_ml_h,co2_medium_ml_h,co2_low_ml_h,noise_internal_dB,noise_external_dB,cost_standard_rate_czk_h,cost_overtime_rate_czk_h,usage_cost_czk,machine_price_czk,failure_probability_per_1000h,avg_repair_time_min,avg_repair_cost_czk,avg_service_life_years,min_working_area_m2,units_count,unit,work_output_unit_h,work_cycle_sec,manufacturer,machine_price_usd
49, 'Minirypadlo 0.9t 9.6kW', 1, 1, '300.9D', '1', 9.6, 935, 275, 73, 151, 1.8, 1.8, 30, 24.1, 0, 0, 0, 0, 0, 173, 286, 307, 115, '', 0, 0, 0, 0, 0, 0, 93, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.027, 'm3', 0, 0, 'Caterpillar', 0
45, 'Kolový traktor 6.7t 68kW', 8, 28, '416F', '1', 68, 6750, 703, 232, 358, 40, 28, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 1097, '', 0, 0, 0, 0, 0, 0, 80, 76, 0, 0, 0, 1548977, 0, 0, 0, 0, 0, 0.76, 'm3', 0, 0, 'Caterpillar', 80550
36, 'Pevný dempr 33t 355kW', 3, 18, '770', '2', 355, 33026, 902, 369, 391, 74.8, 52.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1810, '', 0, 0, 0, 0, 0, 0, 79, 84, 0, 0, 0, 11224936, 0, 0, 0, 0, 0, 25.1, 'm3', 0, 0, 'Caterpillar', 583720
5, 'Pásový dozer 8t 55kW', 5, 19, 'D3K XL LRC', '3', 55.2, 7795, 426, 190, 276, 10, 9, 0, 44.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, '', 0, 0, 0, 0, 0, 0, 77, 78, 0, 0, 0, 1811658, 0, 0, 0, 0, 0, 2.64, 'm2', 1584, 6, 'Caterpillar', 94210
6, 'Pásový dozer 8t 60kW', 5, 19, 'D3K2 XL', '3', 59.7, 7958, 426, 190, 276, 10, 9, 0, 38.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, '', 0, 0, 0, 0, 0, 0, 78, 79, 0, 0, 0, 1811658, 0, 0, 0, 0, 0, 2.64, 'm2', 1900, 5, 'Caterpillar', 94210
7, 'Pásový dozer 8.5t 69kW', 5, 19, 'D4K LGP', '3', 68.8, 8510, 426, 236, 276, 10, 9, 0, 29.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, '', 0, 0, 0, 0, 0, 0, 78, 79, 0, 0, 0, 2367790, 0, 0, 0, 0, 0, 3.15, 'm2', 2835, 4, 'Caterpillar', 123130
8, 'Pásový dozer 9t 77kW', 5, 19, 'D5K2 XL', '3', 77.6, 9314, 432, 211, 276, 10, 9, 0, 38.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, '', 0, 0, 0, 0, 0, 0, 78, 79, 0, 0, 0, 2700084, 0, 0, 0, 0, 0, 2.78, 'm2', 3336, 3, 'Caterpillar', 140410
9, 'Pásový dozer 13.6t 97kW', 5, 19, 'D6K2 LGP', '3', 97, 13673, 469, 276, 296, 10, 10, 0, 30.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, '', 0, 0, 0, 0, 0, 0, 78, 79, 0, 0, 0, 3510244, 0, 0, 0, 0, 0, 3.68, 'm2', 4416, 3, 'Caterpillar', 182540
10, 'Pásový dozer 18t  111kW', 5, 20, 'D6N LGP', '3', 111.8, 17997, 537, 300, 320, 11.6, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5576315, 0, 0, 0, 0, 0, 4.08, 'm2', 4896, 3, 'Caterpillar', 289980
11, 'Pásový dozer 26t 175kW', 5, 20, 'D7E STD', '3', 175, 25996, 586, 288, 332, 11, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '', 0, 0, 0, 0, 0, 0, 77, 80, 0, 0, 0, 10959562, 0, 0, 0, 0, 0, 3.9, 'm2', 4980, 3, 'Caterpillar', 569920
12, 'Pásový dozer 50t 306kW', 5, 20, 'D9T', '3', 306, 50098, 609, 306, 346, 14.3, 11.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15498803, 0, 0, 0, 0, 0, 4.99, 'm2', 8820, 2, 'Caterpillar', 805970
13, 'Pásový dozer 38.5t 259kW', 5, 20, 'D8T', '3', 259, 38488, 691, 305, 267, 10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12969481, 0, 0, 0, 0, 0, 4.99, 'm2', 5988, 3, 'Caterpillar', 674440
14, 'Pásový dozer 66.5t 433kW', 5, 20, 'D10T', '3', 433, 66451, 916, 374, 326, 15.8, 12.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '', 0, 0, 0, 0, 0, 0, 80, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.26, 'm2', 9468, 2, 'Caterpillar', 0
15, 'Pásový dozer 105t 634kW', 5, 20, 'D11T', '3', 634, 104600, 1059, 438, 364, 15, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '', 0, 0, 0, 0, 0, 0, 79, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.36, 'm2', 11448, 2, 'Caterpillar', 0
16, 'Grejdr 14.5t 103kW', 6, 40, '120M', '3', 103, 14466, 849, 253, 331, 45.7, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 734, '', 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 5597853, 0, 0, 0, 0, 0, 3.67, 'm2', 13212, 1, 'Caterpillar', 291100
17, 'Grejdr 15t 118kW', 6, 40, '12M', '3', 118, 14998, 989, 253, 329, 45.7, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 740, '', 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 6148600, 0, 0, 0, 0, 0, 3.7, 'm2', 14800, 0.9, 'Caterpillar', 319740
18, 'Grejdr 16t 136kW', 6, 40, '140M', '3', 136, 16197, 1014, 252, 329, 46.6, 32.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 757, '', 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 6409167, 0, 0, 0, 0, 0, 3.7, 'm2', 16650, 0.8, 'Caterpillar', 333290
19, 'Grejdr 16t 159kW', 6, 40, '160M', '3', 159, 15903, 10144, 252, 329, 47.4, 33.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 760, '', 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 6752480, 0, 0, 0, 0, 0, 4.3, 'm2', 20640, 0.75, 'Caterpillar', 351508
20, 'Grejdr 21t 193kW', 6, 41, '14M', '3', 193, 21226, 1089, 279, 354, 49.8, 34.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 790, '', 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 8130450, 0, 0, 0, 0, 0, 4.26, 'm2', 21908.6, 0.7, 'Caterpillar', 423240
21, 'Grejdr 27.5t 221kW', 6, 41, '16M', '3', 221, 27531, 1167, 309, 372, 51.7, 36.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 890, '', 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 8934124, 0, 0, 0, 0, 0, 4.9, 'm2', 27138.5, 0.65, 'Caterpillar', 465076
22, 'Grejdr 63t 397kW', 6, 42, '24M', '3', 397, 62726, 1610, 428, 445, 40.9, 28.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1240, '', 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 12374698, 0, 0, 0, 0, 0, 7.3, 'm2', 52560, 0.5, 'Caterpillar', 644180
23, 'Kompaktor 21t 173kW', 5, 39, '815F', '3', 173, 20755, 685, 365, 335, 19.5, 17.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 645, '', 0, 0, 0, 0, 0, 0, 78, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.65, 'm2', 10950, 1.2, 'Caterpillar', 0
24, 'Kompaktor 32.7t 264kW', 5, 39, '825H', '3', 264, 32734, 844, 439, 375, 17.2, 15.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 741, '', 0, 0, 0, 0, 0, 0, 78, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.39, 'm2', 12200, 1.3, 'Caterpillar', 0
25, 'Kolový dozer 21.7t 173kW', 5, 21, '814F', '3', 173, 21713, 688, 359, 332, 34.9, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '', 0, 0, 0, 0, 0, 0, 78, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59, 'm2', 21540, 0.6, 'Caterpillar', 0
26, 'Kolový dozer 29t 264kW', 5, 21, '824H', '3', 264, 28724, 822, 450, 370, 36.6, 32.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '', 0, 0, 0, 0, 0, 0, 78, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5, 'm2', 32400, 0.5, 'Caterpillar', 0
